id,lng,lat,is_fraud
1010149,126.9941015,35.0616141,TRUE
1010149,126.9941015,35.0616141,TRUE
1010149,126.9941015,35.0616141,TRUE
1010149,126.9940992,35.0616096,TRUE
1010149,126.9941015,35.0616141,TRUE
1010149,126.9939136,35.0615793,TRUE
1010149,126.9938771,35.0617191,TRUE
1010149,126.9937378,35.0616126,TRUE
1010149,126.99351,35.0617098,TRUE
1010149,126.9935696,35.0613338,TRUE
1010149,126.9942626,35.061814,TRUE
1010149,126.9942626,35.061814,TRUE
1010149,126.9942626,35.061814,TRUE
1010149,126.9942626,35.061814,TRUE
1010149,126.9942626,35.061814,TRUE
1010149,126.9942626,35.061814,TRUE
1010149,126.9942626,35.061814,TRUE
1010149,126.9941468,35.0616685,TRUE
1010149,126.9936493,35.06151,TRUE
1010149,126.9936493,35.06151,TRUE
1010149,126.9936493,35.06151,TRUE
1010149,126.9936493,35.06151,TRUE
1010149,126.9936366,35.0615145,TRUE
1010149,126.9731466,35.0533763,TRUE
1010149,126.8771696,35.1101215,TRUE
1010149,126.8742378,35.1130463,TRUE
1010149,126.879707,35.1147328,TRUE
1010149,126.8967246,35.1128025,TRUE
1010149,126.9119596,35.114217,TRUE
1010149,126.8422391,35.1436635,TRUE
1010149,126.8337018,35.1401588,TRUE
1010149,126.8306853,35.1362463,TRUE
1010149,126.8207886,35.161039,TRUE
1010149,126.8770126,35.1455336,TRUE
1010149,126.8757725,35.1457288,TRUE
1010149,126.8757725,35.1457288,TRUE
1010149,126.8757725,35.1457288,TRUE
1010149,126.8757725,35.1457288,TRUE
1010149,126.8757725,35.1457288,TRUE
1010149,126.8757725,35.1457288,TRUE
1010149,126.8757725,35.1457288,TRUE
1010149,126.8757725,35.1457288,TRUE
1010149,126.8757725,35.1457288,TRUE
1010149,126.8757725,35.1457288,TRUE
1010149,126.8757725,35.1457288,TRUE
1010149,126.8757725,35.1457288,TRUE
1010149,126.8757725,35.1457288,TRUE
1010149,126.8757725,35.1457288,TRUE
1010149,126.8757725,35.1457288,TRUE
1010149,126.8757725,35.1457288,TRUE
1010149,126.875845,35.1456848,TRUE
1010149,126.8993396,35.1346818,TRUE
1010149,126.889779,35.1465011,TRUE
1010149,126.9033,35.1442381,TRUE
1010149,126.9020041,35.1399895,TRUE
1010149,126.9015713,35.1373835,TRUE
1010149,126.9014633,35.1340231,TRUE
1010149,126.9099646,35.1484253,TRUE
1010149,126.9022466,35.1334418,TRUE
1010149,126.8997561,35.1344451,TRUE
1010149,126.8919891,35.1435763,TRUE
1010149,126.9094796,35.1499573,TRUE
1010149,126.8601125,35.1211041,TRUE
1010149,126.855691,35.1231443,TRUE
