target_dates,click_d_day,click_d_1,click_d_2,click_d_3,click_d_4,click_d_5,click_d_6,click_d_7
2020-05-22,198105,16507,9999,7341,5270,2842,2120,2032
2020-05-23,305667,31103,18985,14154,10349,8195,4618,2555
2020-05-24,242926,16605,8716,6306,5022,3712,2451,1497
2020-05-25,184951,12389,8374,5848,3841,2230,2016,1377
2020-05-26,181295,11737,4980,4277,3044,2288,1815,1288
2020-05-27,186675,14480,5716,3256,2676,2196,1871,1444
2020-05-28,181413,14335,8159,4193,2483,2076,1736,1572
2020-05-29,204666,18398,10075,8160,5577,3109,2858,2200
2020-05-30,321363,32085,19316,15411,12412,9049,4279,3289
2020-05-31,257056,18364,9949,6598,5331,4096,2764,1451
2020-06-01,191827,12135,8924,5573,3732,2486,2063,1302
2020-06-02,175261,9938,4676,3142,2599,1741,1610,1020
2020-06-03,184773,13533,5469,2744,2353,1787,1406,1271
2020-06-04,180320,13509,7405,3905,2718,2247,1538,1374
2020-06-05,213071,18345,11732,8270,5865,3052,2278,1949
2020-06-06,345180,36819,21638,15290,13951,9699,4396,3175
2020-06-07,278624,19840,10358,7571,5392,5115,2995,1469
2020-06-08,197279,15370,9317,6988,3980,2853,2538,1487
2020-06-09,195041,12438,5035,3923,2946,2328,1695,1308
2020-06-10,195732,14712,6011,3154,2578,1951,1832,1633
2020-06-11,200146,15171,7889,4198,2573,2407,1715,1911
2020-06-12,211879,18081,10241,7409,5621,3308,2750,2457
2020-06-13,304909,29111,16704,14170,12812,9863,5277,3777
2020-06-14,275593,18187,12081,7231,5513,4424,3803,2145
2020-06-15,220459,13658,8825,6465,4671,2808,2431,1600
2020-06-16,205117,13254,5070,4004,3196,2602,2162,1562
2020-06-17,196892,15400,6961,3316,2549,2502,1865,1510
2020-06-18,187508,15251,8686,4642,2524,2332,2057,1662
2020-06-19,219653,18407,11233,8824,6131,2971,2569,2643
2020-06-20,339844,38383,22360,18115,14921,10161,5398,3808
2020-06-21,290646,24766,12558,8067,6251,5131,3345,2159
2020-06-22,213331,15756,9990,6858,4347,3679,2510,1640
2020-06-23,198820,13418,4960,3864,3190,2191,1794,1636
2020-06-24,172952,13721,6723,3152,2619,2078,1814,1558
2020-06-25,177761,14344,7722,5032,2937,2123,2122,1566
2020-06-26,221075,19395,11297,9338,6984,3487,2499,2578
2020-06-27,336227,33435,19428,16781,13918,10210,5630,3654
2020-06-28,292215,20527,10177,6928,5922,5201,4121,2237
2020-06-29,198753,14331,9153,6394,4525,2981,2494,1714
2020-06-30,186588,13525,4721,4492,3164,2394,1821,1560
2020-07-01,206557,16804,8440,4903,3786,3066,2112,1701
2020-07-02,213493,17021,9609,6046,3208,2550,2170,1907
2020-07-03,239153,20408,10382,8904,6231,3319,2710,2303
2020-07-04,352607,37194,21595,16515,11995,10271,5223,3308
2020-07-05,295815,21441,12558,8099,5410,4899,3559,1672
2020-07-06,215541,15987,11085,7214,5127,3588,2818,2215
2020-07-07,217260,13504,5889,4647,3955,3192,2187,1662
2020-07-08,212594,17679,7446,3462,2846,2976,2441,1784
2020-07-09,214268,16987,9454,5115,2891,2539,2674,2030
2020-07-10,227407,17308,10401,8814,6132,3362,2625,2972
2020-07-11,365629,33696,21264,15859,13618,9936,5326,4134
2020-07-12,281103,21585,11866,9026,7094,5228,4921,2484
2020-07-13,218644,15378,10116,8053,5951,4263,3921,2726
2020-07-14,206635,16147,6759,5914,4468,3381,3434,2535
2020-07-15,217019,20489,10127,5658,4752,4240,3306,2293
2020-07-16,227298,20986,13285,8187,4528,4002,3515,3314
2020-07-17,251502,23149,13873,10180,8079,4971,3618,3738
2020-07-18,356056,40260,23528,17305,13584,11440,7009,4525
2020-07-19,253009,19369,11297,8584,6733,5568,4702,3169
2020-07-20,212894,15513,11612,8544,6864,5239,4456,3081
2020-07-21,224302,15177,6909,5966,5022,4771,4254,2778
2020-07-22,210889,17660,8045,4386,4369,3730,3016,2295
2020-07-23,197384,16664,9274,4851,3433,2782,2703,2661
2020-07-24,207140,17650,11385,8993,6535,4117,3370,3295
2020-07-25,326102,27776,18646,17575,16214,10394,6205,4505
2020-07-26,304513,20361,10281,8363,7372,7068,5057,2794
2020-07-27,211464,15849,11250,7620,5808,4866,3796,3055
2020-07-28,206860,13471,6203,5266,3972,3436,3278,2889
2020-07-29,202192,18277,8514,4798,4298,4006,3546,2954
2020-07-30,224338,18427,12106,7745,4810,4204,3941,4090
2020-07-31,248854,22384,14090,11824,8778,5235,3557,3774
2020-08-01,320834,36130,23388,20260,15215,13698,6831,6113
2020-08-02,279085,25791,14223,11825,9489,8090,7003,3705
2020-08-03,241497,24176,16789,13071,10734,8111,7101,6257
2020-08-04,244355,20250,10153,9098,7469,6348,5114,3988
2020-08-05,226026,22414,10751,7518,5827,5966,4733,4148
2020-08-06,211091,19236,11614,7684,5951,4777,4826,4087
2020-08-07,210717,19841,12598,10044,7075,5013,4354,3734
2020-08-08,251394,28112,18054,15098,13607,9890,6631,5677
2020-08-09,220867,19080,11317,9146,7420,6615,4942,3474
2020-08-10,198810,16223,11556,9767,7041,6603,5290,4347
2020-08-11,217185,15160,7660,7342,6204,5027,4917,3748
2020-08-12,234965,21647,10192,5433,6272,5319,4307,4138
2020-08-13,254414,22233,13156,8256,4813,4776,4537,4258
2020-08-14,278481,28545,16841,12097,8968,5478,5306,5963
