target_dates,op_rate_0d_all_cars,op_rate_1d_all_cars,op_rate_2d_all_cars,op_rate_3d_all_cars,op_rate_4d_all_cars,op_rate_5d_all_cars,op_rate_6d_all_cars,op_rate_7d_all_cars,op_rate_0d_major_cars,op_rate_1d_major_cars,op_rate_2d_major_cars,op_rate_3d_major_cars,op_rate_4d_major_cars,op_rate_5d_major_cars,op_rate_6d_major_cars,op_rate_7d_major_cars,click_d_day,click_d_1,click_d_2,click_d_3,click_d_4,click_d_5,click_d_6,click_d_7,is_clean,avg_precipitation,avg_temperature,month,year,week,weekday,is_weekend
2020-11-12,0.3831050228,0.2054005127,0.1429992104,0.1141538734,0.09241789352,0.08173105754,0.07181818636,0.05940289147,0.3843771108,0.2116927047,0.1418433533,0.1113000031,0.08852931604,0.07930654361,0.06887583112,0.05723427256,183771,18521,12517,7645,3942,3743,3308,3295,1,0.0,10.1,11,2020,46,3,False
2021-04-14,0.3421995028,0.1808061531,0.1228897997,0.09436926517,0.08366224266,0.0725413727,0.06063015653,0.05221284891,0.3382163242,0.1830751663,0.1218730939,0.09366533328,0.08363831085,0.07409801126,0.0623625828,0.05441454956,185411,15281,7637,4472,3989,3514,2843,2047,0,0.9,9.2,4,2021,15,2,False
2021-05-08,0.4650111316,0.246150302,0.1805783151,0.147494782,0.1236721734,0.1039562794,0.08634592326,0.07719046985,0.462878374,0.2547008669,0.182255717,0.1447329952,0.1201084608,0.09875475092,0.08100474774,0.07070605957,285529,32580,18857,12378,11725,8119,5575,3438,1,0.0,15.3,5,2021,18,5,True
2019-10-01,0.2917409257,0.1003967156,0.05302597085,0.04387640159,0.0366800609,0.02940576998,0.02347963486,0.01932143676,0.309367418,0.1013811764,0.05573915648,0.04249026494,0.03535561342,0.02700305136,0.02257907366,0.01749018265,255598,10995,4170,3423,2945,2424,1725,1140,0,117.1,21.5,10,2019,40,1,False
2019-09-26,0.3406429467,0.1363779737,0.08436120622,0.06080734166,0.04568674179,0.04053970863,0.03641827419,0.03042080645,0.3658572982,0.1405104931,0.0850082486,0.06147344345,0.04630390346,0.04016017404,0.0348347322,0.02961280867,211617,14544,7568,4212,2417,1884,1905,1491,0,0.1,21.0,9,2019,39,3,False
2021-04-25,0.4853513822,0.2589833656,0.1890919158,0.1541695506,0.1311300295,0.111253576,0.09640261628,0.08372554448,0.4817178881,0.266176283,0.1886751749,0.1506364412,0.1266402084,0.1061367635,0.09167791477,0.07919335993,287535,23316,14019,9741,8820,6402,4941,2961,0,0.1,15.7,4,2021,16,6,True
2020-09-16,0.363073018,0.1917808714,0.131307765,0.1002725012,0.08561260975,0.07115329941,0.05689216083,0.04596199439,0.3690201189,0.2023191179,0.1364180867,0.1046422225,0.08879795426,0.07409558958,0.05738184193,0.0453610048,177915,15104,6716,3891,3167,2384,1968,1627,0,52.9,21.6,9,2020,38,2,False
2020-09-05,0.4221042247,0.1923202684,0.1180258302,0.08590814618,0.06565207983,0.05119008551,0.04217318723,0.03753781069,0.4249812785,0.2007003247,0.1226971987,0.08857249082,0.06727726942,0.0516062703,0.04157277156,0.03567255455,368606,33880,16121,12838,9835,6454,2854,2155,0,45.8,21.1,9,2020,36,5,True
2021-04-02,0.3635524197,0.1894014994,0.1263311737,0.1004741337,0.08203939529,0.06724133651,0.05992329461,0.05267848277,0.3632669755,0.1919635216,0.1237492868,0.09696904864,0.07876907716,0.06499072885,0.05804895878,0.05116245899,211640,19154,10843,8335,5999,3589,3332,2906,0,3.2,16.3,4,2021,13,4,False
2020-10-14,0.3290371151,0.167591165,0.1033981889,0.07119371023,0.05898984337,0.05115088106,0.04302496329,0.03488069016,0.3376223957,0.1733487676,0.1051815724,0.07180074912,0.05783526357,0.05046379276,0.04227752501,0.03345263263,177553,16531,6591,3196,2509,2545,2072,1725,0,0.7,13.5,10,2020,42,2,False
2020-12-12,0.4133414168,0.2007503552,0.1336367775,0.1015537444,0.07969663084,0.06272389329,0.05169933758,0.04464794969,0.4101061527,0.207186699,0.1353421916,0.1004026335,0.07821095073,0.05965308692,0.04855115638,0.04172287423,274317,28426,16595,10795,9275,6829,3644,2505,1,0.0,4.4,12,2020,50,5,True
2021-04-06,0.340529374,0.1747694359,0.1156043593,0.1005748814,0.08741009834,0.06964442977,0.0537697539,0.03865832477,0.3397583002,0.1769039959,0.1143116637,0.09922955908,0.08675672604,0.07030206824,0.05395394756,0.03654311912,185710,13044,5514,5027,4716,3166,2740,1826,1,0.0,12.0,4,2021,14,1,False
